Position,Track Name,Artist,Streams,URL
95,Some Kind Of Drug,G-Eazy,688119,1Bqxj0aH5KewYHKUg1IdrF
96,It's Gotta Be You,Isaiah,682614,6cAKeFFYW2aClZSUyvqAEW
97,Versace On The Floor,Bruno Mars,677644,0kN8xEmgMW9mh7UmDYHlJP
98,No Heart,21 Savage,670759,4gmmRb6bZJffOOiww1JGTO
99,Traicionera,Sebastian Yatra,668413,5J1c3M4EldCfNxXwrwt8mT
100,Hymn For The Weekend - Seeb Remix,Coldplay,667327,1OAiWI2oPmglaOiv9fdioU
101,Sneakin‰Ûª,Drake,665076,4ckuS4Nj4FZ7i3Def3Br8W
102,Not Going Home,DVBBS,661489,2PuHj0tUOKud6fVKTZUXRO
103,Ay Mi Dios,IAmChino,653480,6stYbAJgTszHAHZMPxWWCY
104,Shout Out to My Ex,Little Mix,651480,0YHUITU3w6ws1v8ehT264g
105,Work,Rihanna,651011,14WWzenpaEgQZlqPq2nk4v
106,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,650275,6lDo13SSgTv0WbyUQKgnjk
107,You Don't Know Me,Jax Jones,646632,2SZy40PLDk3vFucXUGFCFA
108,Touch,Little Mix,645712,5Ua3GXyHwiSfpNTMjq6m2z
109,Light,San Holo,640175,74Ru27B7Jx8mBt5MGvGLLv
110,Controlla,Drake,638001,4CpKEkdGbOJV51cSvx7SoG
111,La Bicicleta,Carlos Vives,635808,43it4kot08akLzFIEMhXNN
112,The Ocean,Mike Perry,630531,2CPqh63wRVscbceKcPxwvv
113,September Song,JP Cooper,626712,0FuTx2s3YH1ppmtiM6l0zI
114,Six Feet Under,The Weeknd,625125,4mU5iXHeLgbR94siF7p1sY
115,Capsize,FRENSHIP,622307,3GBlLqIYgB8zWaeWDNJzdh
116,Changing,John Mayer,621643,0GWS6wkQrqZd0BAhq28haq
117,Needed Me,Rihanna,620992,1Tt4sE4pXi57mTD1GCzsqm
118,Vacaciones,Wisin,620559,3dQDid3IUNhZy1OehIfYfE
119,Love on the Weekend,John Mayer,613342,0j2WBxWZnWti5TpSxjJvPb
120,Dile Que Tu Me Quieres,Ozuna,610143,7eWjKYlhZyM8kPz6JJ35aN
121,Sidewalks,The Weeknd,594773,4h90qkbnW1Qq6pBhoPvwko
122,Me Llamas (feat. Maluma) - Remix,Piso 21,592749,5hEM0JchdVzQ5PwvSfITeX
123,Cake By The Ocean,DNCE,591174,2aFiaMXmWsM3Vj72F9ksBl
124,Fresh Eyes,Andy Grammer,587256,4nMlau89VAjmV7agkl7OY3
125,Love On The Brain,Rihanna,582688,2aksifNn5ph8igDOkPBA02
126,You Was Right,Lil Uzi Vert,575748,2ANLarE8yHVsLWW21nj79M
127,7 Years,Lukas Graham,575116,5kqIPrATaCc2LqxVWzQGbk
128,Swang,Rae Sremmurd,570075,6mapJIPnQ23RTAevUoE0DL
129,Cake,Flo Rida,561790,6t2ubAB4iSYOuIpRAOGd4t
130,This Girl (Kungs Vs. Cookin' On 3 Burners),Kungs,558151,0tICYNayWWhH9GPeFrfjfD
131,High For Hours,J. Cole,557875,3mA0mD8XdDg1sqp6OrJCD5
132,Middle,DJ Snake,554817,4OZEu0Vwq0RB2LAq14v99n
133,Into You,Ariana Grande,550104,7yHEDfrJNd0zWOfXwydNH0
134,Final Song,MÌ÷,547645,4qqArAiTPueDxIp7cf87h7
135,This Town,Niall Horan,536408,5nA67Y0XX9JipZwYxX7Gl7
136,Love On Me,Galantis,533677,2MHCiOohBZEQuLgDTPvSzF
137,Lean On (feat. MÌ÷ & DJ Snake),Major Lazer,531296,4WjH9Bzt3kx7z8kl0awxh4
138,Dancing On My Own,Calum Scott,525711,02WacdrRpm4zlP8H7X6bnQ
139,Send My Love (To Your New Lover),Adele,523722,4BHzQ9C00ceJxfG16AlNWb
140,No Problem (feat. Lil Wayne & 2 Chainz),Chance The Rapper,517474,0v9Wz8o0BT8DU38R4ddjeH
141,Oceans Away,A R I Z O N A,511182,4NJpJ17Dgm5r4OYExFbxLk
142,Fast Car - Radio Edit,Jonas Blue,510834,6OZh916QF8XNunWaP97WEZ
143,That's What I Like,Bruno Mars,509979,0KKkJNfGyhkQ5aFogxQAPU
144,History,Olivia Holt,509740,3QmOiZF7IzJJkHnahh5Ea0
145,DUELE EL CORAZON,Enrique Iglesias,509437,6YZdkObH88npeKrrkb8Ggf
146,Oh Lord,MiC LOWRY,500620,1sTUEdVO85YU8Ymk2jeAls
147,Juju On That Beat (TZ Anthem),Zay Hilfigerrr,499335,1lItf5ZXJc1by9SbPeljFd
148,Romantic - NOTD Remix,Stanaj,490859,1pvgpkMqtQyOGePdYOTt9U
149,Andas En Mi Cabeza,Chino & Nacho,490502,5mey7CLLuFToM2P68Qu1gF
150,Lose Yourself - Soundtrack Version,Eminem,487605,7w9bgPAmPTtrkt2v16QWvQ
151,Hello,Adele,486002,4sPmO7WMQUAf45kwMOtONw
152,On Hold,The xx,485675,5CPqOpKSk0QcJ3dGdaWcRB
153,"Me, Myself & I",G-Eazy,484975,40YcuQysJ0KlGQTeGUosTC
154,pick up the phone,Young Thug,482571,20dP2DaMHIAmwWAbp7peSr
155,Roses,The Chainsmokers,482449,3vv9phIu6Y1vX3jcqaGz5Z
156,You're Gonna Live Forever in Me,John Mayer,481955,2uuupTirBvf7iQ8mWN7v1O
157,Sex,Cheat Codes,474680,4CGGIk81BvfCZiscwFP6t0
158,Love$ick,Mura Masa,464787,0t2myRMEMCi2SRyg5TEFLp
159,Cuatro Babys,Maluma,463064,0JoHqmlqE0W0i9prt6kcHR
160,Taped Up Heart (feat. Clara Mae),KREAM,461619,26hcyzSE154xMZCbFdtInA
161,Stitches,Shawn Mendes,461450,1WP1r7fuvRqZRnUaTi2I1Q
162,Lush Life,Zara Larsson,456351,0r4SsYcwvd8URat6AS2m6f
163,What Do You Mean?,Justin Bieber,455129,3pzjHKrQSvXGHQ98dx18HI
164,Gyal You A Party Animal - Remix,Charly Black,454473,1AkTW13ysu0AJrwuM6UY0I
165,The Hills,The Weeknd,452188,25khomWgBVamSdKw7hzm3l
166,Moves,Big Sean,450452,6Kd4EPrY9A4WBUFy5JaqEc
167,No Role Modelz,J. Cole,450145,62vpWI1CHwFy7tMIcSStl8
168,Used to This,Future,448890,3V8sM5OOG6YfDuDLa2IIYJ
169,Cocoon,Milky Chance,448305,2v06ZOVTUrUoBNKOCqS22m
170,Borro Cassette,Maluma,443746,6DUdDIRgLqCGq1DwkNWQTN
171,Let Me Hold You (Turn Me On),Dante Klein,443607,0lmdsH1MIoLsMymnNpd6HU
172,The Greatest,Sia,443242,6bLopGnirdrilrpdVB6Um1
173,Reminder,The Weeknd,442872,37F0uwRSrdzkBiuj0D5UHI
174,'Till I Collapse,Eminem,441850,6yr8GiTHWvFfi4o6Q5ebdT
175,Let It Go,James Bay,440501,13HVjjWUZFaWilh2QUJKsP
176,goosebumps,Travis Scott,438577,6gBFPUFcJLzWGx4lenP6h2
177,Te Quiero Paå«Mi,Don Omar,438520,3BY2mafsbsoKGqS380Xnuz
178,Low Life,Future,438211,7EiZI6JVHllARrX9PUvAdX
179,Hotline Bling,Drake,435658,2FBUoWkIuQXwayw2RNo5l6
180,Jumpman,Drake,433918,27GmP9AWRs744SzKcpJsTZ
181,Ain't My Fault,Zara Larsson,433882,4nA0biSjtvOL41Hd9MBXqR
182,The Other,Lauv,428831,3ZD3kjn80pQ9keYO8eqp9d
183,PILLOWTALK,ZAYN,428240,0PDUDa38GO8lMxLCRc4lL1
184,Neighbors,J. Cole,425761,0utlOiJy2weVl9WTkcEWHy
185,Selfish,PnB Rock,425604,4HUIsMWVGNHsxlhbc3YQ5y
186,Party,Chris Brown,422620,05Z7jet4VDNVgNQWcYHnrk
187,Die For You,The Weeknd,418953,2Ch7LmS7r2Gy2kc64wv3Bz
188,Chillax,Farruko,418030,1lxswgIpzV6HhENRvkflES
189,Mr. Brightside,The Killers,416951,7oK9VyNzrYvRFo7nQEYkWN
190,OOOUUU,Young M.a.,412273,0D21XvHcVsIvJM6FcGY2BT
191,Stronger,Kanye West,411310,6C7RJEIUDqKkJRZVWdkfkH
192,Deu Onda,MC G15,411237,0EPxmvsG1BY5td4aTOkWBF
193,No Money,Galantis,410262,0gb1J5UrTpzaU1s3nupgCd
194,Let Her Go,Passenger,407678,7DFNE7NO0raLIUbgzY2rzm
195,Both (feat. Drake),Gucci Mane,406325,5tFep7dXGd7vEJ668wTPux
196,Rockin‰Ûª,The Weeknd,406317,5HR4CYT5nPpFy8m9wJQgrr
197,All of Me,John Legend,401051,3U4isOIWM3VvDubwSI3y7a
198,White Iverson,Post Malone,400889,6eT7xZZlB2mwyzJ2sUKG6w
199,Can't Feel My Face,The Weeknd,399077,6RsWqX8zABZLhZydXxEFOm
200,Million Reasons,Lady Gaga,398874,50PWlIBU7PlGGwzgN8TiFJ
